iter	Passed	Remaining
1408	810128	2064705
1409	810905	2064645
1410	811369	2063787
1411	811988	2063324
1412	812755	2063238
1413	813526	2063157
1414	814158	2062725
1415	814632	2061893
1416	815218	2061347
1417	815822	2060842
1418	816725	2061094
1419	817304	2060529
1420	817957	2060146
1421	818453	2059370
1422	818958	2058619
1423	819557	2058103
1424	819938	2057038
1425	820406	2056195
1426	821212	2056196
1427	821833	2055735
1428	822403	2055144
1429	823195	2055109
1430	823640	2054207
1431	824525	2054403
1432	824807	2053097
1433	825907	2053825
1434	826784	2053997
1435	827299	2053270
1436	828340	2053846
1437	829423	2054524
1438	830212	2054472
1439	830914	2054206
1440	831572	2053827
1441	832215	2053414
1442	832912	2053132
1443	833508	2052602
1444	834211	2052332
1445	834799	2051783
1446	835883	2052448
1447	836679	2052406
1448	837268	2051857
1449	838158	2052043
1450	838707	2051394
1451	839612	2051615
1452	840283	2051263
1453	840834	2050617
1454	841567	2050418
1455	842156	2049863
1456	842657	2049097
1457	843700	2049649
1458	844980	2050772
1459	845842	2050879
1460	846495	2050477
1461	847065	2049874
1462	847625	2049250
1463	848340	2048996
1464	849105	2048864
1465	849805	2048576
1466	851232	2050035
1467	851790	2049403
1468	852201	2048415
1469	852713	2047672
1470	853371	2047279
1471	853599	2045855
1472	854665	2046440
1473	855779	2047136
1474	856613	2047162
1475	857086	2046324
1476	857888	2046270
1477	859048	2047068
1478	860042	2047470
1479	860573	2046769
1480	861645	2047352
1481	862422	2047235
1482	862865	2046322
1483	863479	2045818
1484	863903	2044861
1485	864524	2044373
1486	864671	2042765
1487	865533	2042846
1488	866087	2042198
1489	866952	2042283
1490	867740	2042188
1491	868318	2041595
1492	868774	2040717
1493	869260	2039910
